(Chi-Ji,407.8897338403042)
(Azaßak-Ragnaros,969.2243346007605)
(Solrial-Feathermoon,1761.2813688212927)
(Jaggededge-KhazModan,3654.5931558935363)
(Gonger-Turalyon,5743.574144486692)
(Zøom-Azralon,6058.1596958174905)
(Shadowdabz-Kil'jaeden,7452.863117870723)
(Morageruma-AlteracMountains,7707.551330798479)
(Soulrend-Lightninghoof,7824.038022813688)
(Djheadkick-Barthilas,8074.866920152092)
(Mortalnt-Magtheridon,13071.863117870722)
(Chubchubby-Thaurissan,21685.44866920152)
(Lurgon-KhazModan,27099.760456273765)
(Boyardee-Blackhand,30970.444866920152)
(Wifire-Thaurissan,47447.992395437264)
(Cöns-EmeraldDream,52190.86311787072)
(Ìllidan-LaughingSkull,68460.61977186312)
(Keï-Drakkari,68580.67680608365)
(Gladìolus-Area52,153254.68441064638)
(Yokomora-Azralon,195796.88593155894)
(Delaying-EmeraldDream,231858.36882129277)
(Harammbe-Hyjal,277189.8022813688)
(Gotenkz-Azralon,350232.2205323194)
(Moosenuckle-Frostmane,515552.3269961977)